team,name,position,price,last_season_points
Blackouts FC,Player 1,GK,10,120
Blackouts FC,Player 2,DEF,10,95
Blackouts FC,Player 3,DEF,10,88
Blackouts FC,Player 4,DEF,10,80
Blackouts FC,Player 5,MID,15,140
Blackouts FC,Player 6,MID,10,90
Blackouts FC,Player 7,MID,10,75
Blackouts FC,Player 8,FWD,25,160
Darkstar FC,Player 9,GK,10,110
Darkstar FC,Player 10,DEF,10,92
Darkstar FC,Player 11,DEF,10,85
Darkstar FC,Player 12,DEF,10,78
Darkstar FC,Player 13,MID,15,130
Darkstar FC,Player 14,MID,10,88
Darkstar FC,Player 15,MID,10,70
Darkstar FC,Player 16,FWD,25,150
Showstoppers,Player 17,GK,10,105
Showstoppers,Player 18,DEF,10,90
Showstoppers,Player 19,DEF,10,82
Showstoppers,Player 20,DEF,10,76
Showstoppers,Player 21,MID,15,125
Showstoppers,Player 22,MID,10,85
Showstoppers,Player 23,MID,10,68
Showstoppers,Player 24,FWD,25,145
Goli Underdogs,Player 25,GK,10,100
Goli Underdogs,Player 26,DEF,10,88
Goli Underdogs,Player 27,DEF,10,80
Goli Underdogs,Player 28,DEF,10,74
Goli Underdogs,Player 29,MID,15,120
Goli Underdogs,Player 30,MID,10,82
Goli Underdogs,Player 31,MID,10,65
Goli Underdogs,Player 32,FWD,25,140
